               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070809,            0.028722,            0.040486,             0.16064,             0.10551,             0.11834,            0.041793,            0.037441,            0.015578,            0.030158,              0.0702,           0.0033111,           0.0033111
                   1,            0.050482,            0.023077,            0.034328,              0.1434,             0.27754,             0.16954,            0.053264,            0.041362,           0.0092079,            0.026184,            0.039542,           0.0059866,           0.0059866
                   2,            0.045855,             0.01972,            0.030515,             0.16711,             0.37074,             0.26401,            0.097858,            0.030676,           0.0076538,            0.023754,           0.0082244,           0.0080022,           0.0080022
                   3,            0.041662,            0.018064,            0.025271,              0.6157,             0.40815,             0.45189,             0.24892,             0.02524,           0.0070982,            0.020988,             0.00703,             0.00703,             0.00703
                   4,            0.038986,            0.017689,            0.023921,             0.55441,             0.51377,             0.46818,             0.23217,            0.024705,           0.0067596,            0.019778,             0.00703,             0.00703,             0.00703
                   5,            0.033292,            0.016765,            0.019987,             0.42339,             0.65016,             0.62133,             0.36722,            0.022496,           0.0062341,            0.017847,             0.00604,             0.00604,             0.00604
                   6,            0.032831,            0.016348,            0.020593,             0.46311,             0.73869,             0.66722,             0.39943,            0.018497,           0.0060736,            0.016319,             0.00505,             0.00505,             0.00505
                   7,            0.029335,            0.015629,            0.017553,             0.52241,             0.76035,              0.7374,             0.48684,            0.016678,           0.0061416,            0.014753,             0.00406,             0.00406,             0.00406
                   8,            0.028757,            0.016173,            0.016555,             0.58919,             0.74988,             0.77974,             0.51773,            0.016833,             0.00579,             0.01312,             0.00307,             0.00307,             0.00307
                   9,            0.026866,            0.015854,              0.0146,             0.62041,             0.72149,             0.78341,              0.5602,            0.014615,            0.005841,            0.011796,             0.00208,             0.00208,             0.00208
